number,review
242,"We were really excited to try this place since its in a location close to us and the hype of really good tex mex stepped up a level however the overall experience was pretty disappointing. We arrived around 11:45 and seated right away on the patio. The Margaritas were really well balanced and you could taste the tequila. Service seemed to be good at times and then non existent. They need to work on consistency. The salsa was flavorful however it really needed salt. One thing we noticed is that NOWHERE on the menu does it say the lunch menu is ONLY Monday-Friday. When informed of this the dishes we were ordering were $4 more a piece which really irked me as it was not listed as so on the menu. My wife got the chicken enchiladas with the cream sauce and I got the Chile con carne beef enchiladas. My enchiladas were fantastic however what transpired after than makes me not want to visit this establishment again. My wife halfway through noticed their was no chicken in the enchiladas only cheese and onion and we brought that up to the waiter and after he comes back he says ""I'm sorry I guess the kitchen screwed up."" They made no offer to make it right or offer any sort of discount on behalf of their error. Comping the dish would be going above and beyond to serve their customer. We did not expect that but a simple gesture to comp one of our $4 beers (we each got 2 beers after paying $9 each for a margarita) would have been more than enough of a nice gesture to make up for the mistake. But the fact they admitted the mistake and made no attempt to rectify the situation makes me think they don't really care about their customers returning which is sad because my food were some of the best enchiladas I've had in Texas. Sure I could have asked to speak to a manager but all in all we didn't want to make a fuss and all that. I understand growing pains but it may be awhile if ever we decide to return."
243,"Had puffy beef tacos with rice and beans.  Taco Tuesday special.  Really delicious.  Every thing from salsa to beef, beans and rice tasted freshly made and was superb.  Try it I think there isn't another place in Austin that serves better Tex Mex."
244,"My wife and sister and brother-in-law really enjoyed the food and drinks! The Paloma margarita was tasty and had a nice punch. The cheese enchiladas and shrimp dishes were prepared perfectly. Pena, our waiter, provides us with recommendations and was professional/pleasant guy! Will definitely go back for more!"
245,"Looks like Vamanos has worked out some of the kinks of its soft opening! Despite living a few blocks away the 2 hr wait and mediocre reviews kept us away - until today! We made it just in time for their 3-6 PM (Mon-SATURDAY) happy hour and were seated immediately. My prickly pear margarita was pretty good (not too sweet but not as tart as others in town) and the guacamole serving was generous and delicious. We tried the tomatillo chicken enchiladas and the Pablo plate which included your choice of two enchiladas and two tacos. As both of these options came with rice and beans, they dispensed them ""family style"" in small bowls. Both enchiladas tasted very fresh and flavorful but the tacos were lackluster (tortilla + meat + onion, cilantro), particularly as Tyson's Tacos has perfected the taco next door. All in all Vamanos is a welcome addition to our neighborhood with attentive service, fresh ingredients and some fun cocktails. It still feels a couple of dollars overpriced per item but is slightly more upscale than the rest of the block and avoids the pitfalls of other overpriced locales (like making you pay for chips and salsa). 4/5 stars!"
246,the queso is unique and delicious! fajita was very flavorful from their wood fire grill! will come here again!
247,"Americanize Tex mex, over priced for the amount of food. Awesome palome! Great outdoor seating and staff was super friendly. Just not worth the money."
248,I started off with a delicious frozen Paloma with Chile salt rim. The chips are warm and the salsa is smoky and tasty. The habanero sauce is sweet with a spicy kick. Queso blanco is outstanding. I ordered a Pablito platter which comes with choice of enchiladas and tacos.My cheese taco with poblanos crema  and carnitas taco were very good. This is a sleek space with a friendly and efficient staff. I will definitely be back!!
249,Great spot! The food is delicious -- I had the Ven Pescar plate -- and the service was stellar!
250,"Stopped by for some drinks and apps.  Wait staff amazing,  food was delicious and atmosphere was very chill.  Definitely coming back for meal.  Recommending to everyone!!!!!"
251,"Excellent service, salsa, and food. I highly recommend for dinner or lunch. Excellent happy hour and authentic Mexican food."
252,"Unfortunately, just not that good. Even the salsa was bland. They need to work on their flavoring. The ranch water was good though."
253,"We came from Houston all the way over here and it was worthy!!! Can wait to bring my whole family here! .... I loved the service, the food was delicious and the prices are very reasonable!  We need a VAMONOS in Houston please!!!!!!"
254,Food and service here is awesome! The outdoor patio is so cute and well designed. Will definitely be back!
255,"Man, I so wanted to love this place. It's within walking distance of our house and we just now had the opportunity to give it a shot. It's also super warm and cute on the inside. First, the service is friendly, but kind of terrible. Everyone's rushing around but nothing's really happening. No real list at the hostess station, just an ""I'll find you..."" (ok?).  When we were finally sat, people were zooming by, but everyone ignored us (and we were not tucked away...). No water. No chips and salsa (not the end of the world, of course). The wait staff was slow to approach our table and take orders. The drinks took a looong time (you know, where you feel like just going back there and slinging them yourself?). And, after all that? The food and drinks were pretty mediocre and kind of pricy.  We split the skirt steak for 2 and it was lacking flavor. Also, 10 bucks for an order of guac? I do not like giving bad reviews on Yelp and I'm only saying this hoping that it helps. We have decided to give it one more try before abandoning it completely."
256,"Day trip to Austin, and found out about Vamonos via Eater Austin. The recommendation was strong so we had high hopes. The good: great service, very friendly and on top of drink refills. Loved the decor. Clean restrooms. Guacamole and beans were tasty. The not-so-good: way expensive (our tab for guacamole, two entrees and 2 soft drinks was $48 - this was a Saturday at lunch). The fish tacos were disappointing - cold, store bought tortillas, the ""slaw"" was not pretty/appetizing to look at and way overdressed in a spicy sauce that made everything soggy. My husband thought the chicken enchiladas were underwhelming. He left half his plate. Which he NEVER does when it comes to enchiladas. Maybe we ordered the wrong things, maybe it is the difference between regional takes on Tex Mex - especially given such strong reviews here, we must have missed something. We wish them success, but likely wouldn't be back."
